insert into member values('bangle0', 'singlebangletest!0', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle1', 'singlebangletest!1', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle2', 'singlebangletest!2', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle3', 'singlebangletest!3', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle4', 'singlebangletest!4', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle5', 'singlebangletest!5', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle6', 'singlebangletest!6', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle7', 'singlebangletest!7', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle8', 'singlebangletest!8', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle9', 'singlebangletest!9', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle10', 'singlebangletest!10', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle11', 'singlebangletest!11', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle12', 'singlebangletest!12', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle13', 'singlebangletest!13', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle14', 'singlebangletest!14', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle15', 'singlebangletest!15', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle16', 'singlebangletest!16', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle17', 'singlebangletest!17', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle18', 'singlebangletest!18', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle19', 'singlebangletest!19', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle20', 'singlebangletest!20', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle21', 'singlebangletest!21', 'SingleBangle', 'M','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle22', 'singlebangletest!22', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle23', 'singlebangletest!23', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
insert into member values('bangle24', 'singlebangletest!24', 'SingleBangle', 'F','01012345678', 'recoder@singlebangle.com', '12345', '서울시 중구 남대문로 120', '대일빌딩 3층','N', 'N');
